district,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,Bachelor's Degree or Higher,White BA (Bachelor's Degree or Higher Among Whites Only),Median Income
CA-19,72.9,21.5,71.2,26.5,67.5,28.8,73.8,26.2,73.9,26.1,100,0,33.3,3.3,31,29.6,0.2,2.6,30.4,3,37.2,27,0.3,2.1,81.3,35.9,49.6,98314.00
CA-20,70.4,23.2,70.9,26.2,71.4,25.6,81.4,0,70.8,29.2,75.2,0,53.3,2.6,34.9,6,0.3,2.9,44.9,2.2,44.4,6,0.4,2.1,75.7,27.8,45.2,69872.00
CA-21,55.2,39.7,54.6,43.5,51.5,45.7,50.4,49.6,43.3,56.7,42.2,57.8,27.5,5.7,60.7,3.8,0.6,1.7,23.2,5.3,65.9,3.8,0.6,1.2,59.4,8.3,17.8,42155.00
CA-22,42.6,52.1,41.6,56.6,42.3,55.3,47.3,52.7,32.4,67.6,28,72,49.3,3.1,37.6,7.7,0.5,1.8,48,2.8,39.4,7.4,0.6,1.8,81.4,24.9,32.6,59240.00
CA-23,36.1,58.1,36.1,61.5,36.2,60.9,36.3,63.7,30.8,69.2,25.2,74.8,55.1,6.8,30.5,4.7,0.7,2.3,55.7,5.7,30.8,4.8,0.9,2.1,82.4,20.4,24.6,59119.00
CA-24,56.7,36.5,54.1,43.1,56.2,40.7,58.6,41.4,53.4,46.6,51.9,48.1,66.9,2.1,23.6,4.6,0.5,2.4,62,2,29,4.5,0.5,2.1,85.1,34.2,44.7,71225.00
CA-25,50.3,43.6,47.8,49.7,48.7,48.1,54.4,45.6,46.9,53.1,0,100,49.5,8.2,31.3,8.3,0.4,2.4,50.3,7.6,31.5,8.1,0.3,2.2,85.2,27.6,33.2,79198.00
CA-26,57.9,36,54,43.7,56.1,41,61.9,38.1,60.4,39.6,51.3,48.7,55.3,2.1,33.4,6.8,0.3,2.1,50.9,1.8,38.4,6.9,0.3,1.7,83.2,33.3,44.9,82350.00
CA-27,66,28.4,62.6,35,61,35.5,100,0,67.4,32.6,59.4,40.6,32.2,5.3,24.9,35.5,0.3,1.8,31.3,4.5,24.4,38,0.2,1.7,85.6,42.2,54.5,75672.00
CA-28,72.1,22.3,70.3,26.5,70.1,26.3,78.4,21.6,78,22,76.5,0,61.6,3.3,20.3,12.2,0.3,2.4,58.1,2.5,23,13.6,0.2,2.7,88.1,45.3,50.1,66387.00
CA-29,77.7,16.8,77,20.5,73.8,22.5,80.6,19.4,100,0,74.6,25.4,27.9,5.1,56.4,9.2,0.2,1.2,21.7,4,64.1,8.5,0.2,1.4,69.9,19.9,35.2,53324.00
CA-30,69.1,25.7,65.3,32.1,65.8,30.9,73.4,26.6,72.6,27.4,65.6,34.4,58.1,5.5,21.9,12.1,0.2,2.2,56.6,4.2,24,12.3,0.2,2.7,88.7,43.6,50.7,79836.00
CA-31,57.7,36.6,57.2,40.6,55.6,40.7,58.7,41.3,56.1,43.9,51.7,48.3,33.5,11.8,44.9,7.2,0.3,2.2,34.4,11,44.3,8,0.3,2,80.3,23.6,33.1,61219.00
CA-32,66.6,27.7,65.2,32.5,62,34.5,68.8,31.2,100,0,59.7,40.3,21,3.4,55.1,19,0.3,1.2,21.2,2.7,57.8,16.9,0.2,1.2,75.5,21.3,31.3,67871.00
CA-33,67.8,26.5,60.6,36.8,64.1,32.9,70,30,66.4,33.6,59.2,40.8,69.7,3.2,11.6,12.2,0.2,3.1,70.1,2.8,10.3,13.7,0.2,2.9,95.8,64.7,67.8,108188.00
CA-34,83.6,10.7,83,14.1,77.1,18.7,72.5,0,100,0,100,0,17.9,7.4,50.3,22.3,0.3,1.7,10.9,5.1,60.5,22.1,0.2,1.2,67,26.4,59.4,42959.00
CA-35,67.7,26.9,67.4,30.6,64.1,32.3,69.4,30.6,72.4,27.6,100,0,20.2,8,61.9,7.6,0.3,2,19.1,7.2,65,7.2,0.3,1.3,71.1,15.9,23.3,61852.00
CA-36,52.2,43.4,50.7,47.5,50.1,47,59,41,62.1,37.9,54.2,45.8,53,4.7,36.8,3.3,0.8,1.5,51.9,3.5,39.5,3.1,0.7,1.3,80.7,20.8,30.6,48534.00
CA-37,85.7,9.6,84.9,12.7,84.3,12.8,89.1,10.9,100,0,84.3,15.7,31.6,28.6,26.8,10.1,0.2,2.7,27.2,24.8,34.3,10.6,0.2,2.8,80.5,38.6,66.6,57795.00
CA-38,67,27.4,64.9,33,61.1,35.2,68.9,31.1,70.5,29.5,59.1,40.9,21.8,4.1,56.2,16.3,0.4,1.2,21.9,3.5,57.2,15.7,0.3,1.3,80,23.3,26.5,69596.00
