date,state,candidate,lower,mean,upper
2020-07-01,New Mexico,dem,0.5018725946725657,0.5511527762579669,0.5995924032455394
2020-07-01,New Mexico,other,0.13331669794402473,0.18221868867298555,0.23137723916927905
2020-07-01,New Mexico,rep,0.27558488145658366,0.3263979473911479,0.37809899894352594
2020-07-01,North Carolina,dem,0.47515158792059875,0.5107190462746238,0.5457643450406034
2020-07-01,North Carolina,other,0.0592898784384194,0.09527255467254778,0.1310366112472404
2020-07-01,North Carolina,rep,0.41426680136895977,0.4540140720751054,0.4936426198707758
2020-07-01,Oklahoma,dem,0.2440587949542338,0.312162091424558,0.38142941534074337
2020-07-01,Oklahoma,other,0.026964119901581405,0.09538384599271517,0.1637701723034541
2020-07-01,Oklahoma,rep,0.5820651389392346,0.6523177773117459,0.7238169369236178
2020-07-01,Oregon,dem,0.5742016551023081,0.6429108849218645,0.7120404877743209
