date,candidate,lower,mean,upper
2020-04-26,other,0.08928530059866642,0.11189980999978677,0.13569526917217845
2020-04-26,trump,0.38822328994984745,0.42100361366522165,0.4542473665788298
2020-04-27,biden,0.43756756319853296,0.4695323704729698,0.5019743931995895
2020-04-27,other,0.0913031448210643,0.11357669681224133,0.13735323363748067
2020-04-27,trump,0.38440142730753546,0.41634311601658125,0.4478555945800352
2020-04-28,biden,0.43769601648411893,0.4696098575180423,0.5015696684105422
2020-04-28,other,0.09277637069560242,0.11502894138673397,0.13882624469776184
2020-04-28,trump,0.38332186109977134,0.41507872614315566,0.4467982819790478
2020-04-29,biden,0.4382565465103685,0.4701611306847834,0.5019650743500083
2020-04-29,other,0.09243716561375365,0.11472394422634932,0.13847600668922858
2020-04-29,trump,0.38327837434084655,0.41475528408489687,0.445914276832621
